formula,year,Radio,IR,UV/Vis,authors,total,C,H,N,O,Si,S,Cl,Mg,Na,Al,K,F,P,Li,Fe,disputed,Ti,D,Ar,Cr,V,He,Ca,radical?
CH,1937,True,False,True,"['P Swings', 'L Rosenfeld', 'A McKellar', 'S Adams', 'H Rydbeck', 'J Elldér', 'M Irvine', 'Y Sheffer', 'R Federman']",2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,True
CN,1940,True,False,True,"['A McKellar', 'S Adams', 'B Jefferts', 'A Penzias', 'W Wilson']",2,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,True
CH+,1941,False,False,True,"['E Douglas', 'T Dunham', 'S Adams', 'G Herzberg']",2,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,False
OH,1963,True,False,False,"['S Weinreb', 'H Barrett', 'L Meeks', 'C Henry']",2,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,True
NH3,1968,True,False,False,"['C Cheung', 'M Rank', 'H Townes', 'D Thornton', 'J Welch']",4,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,False
H2O,1969,True,False,False,"['C Cheung', 'M Rank', 'H Townes', 'D Thornton', 'J Welch']",3,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,False
H2CO,1969,True,False,False,"['E Snyder', 'D Buhl', 'B Zuckerman', 'P Palmer']",4,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,False
CO,1970,True,False,True,"['W Wilson', 'B Jefferts', 'A Penzias', 'P Solomon', 'B Jefferts', 'W Wilson', 'M Smith', 'P Stecher', 'A Penzias']",2,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,False
H2,1970,False,False,True,['R Carruthers'],2,,2.0,,,,,,,,,,,,,,,,,,,,,,False
HCO+,1970,True,False,False,"['D Buhl', 'E Snyder']",3,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,False
CH3OH,1970,True,False,False,"['A Ball', 'A Gottlieb', 'E Lilley', 'E Radford']",6,1.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,False
HC3N,1971,True,False,False,['E Turner'],5,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,False
HCN,1971,True,False,False,"['E Snyder', 'D Buhl']",3,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,False
HCOOH,1971,True,False,False,"['B Zuckerman', 'A Ball', 'A Gottlieb', 'G Winnewisser', 'E Churchwell']",5,1.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,False
SiO,1971,True,False,False,"['W Wilson', 'A Penzias', 'B Jefferts', 'N Kutner', 'P Thaddeus', 'F Dickinson']",2,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,False
CS,1971,True,False,False,"['A Penzias', 'M Solomon', 'W Wilson', 'A Penzias', 'B Jefferts', 'B Zuckerman', 'M Morris', 'P Palmer', 'E Turner']",2,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,False
CH3CN,1971,True,False,False,"['B Jefferts', 'A Penzias', 'W Wilson']",6,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,False
OCS,1971,True,False,False,"['B Jefferts', 'A Penzias', 'M Solomon', 'M Solomon']",3,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,False
NH2CHO,1971,True,False,False,"['H Rubin', 'W Swenson', 'C Solomon', 'L Flygare']",6,1.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
HNC,1972,True,True,False,"['E Snyder', 'D Buhl', 'B Zuckerman', 'M Morris', 'P Palmer', 'E Turner', 'L Blackman', 'D Brown', 'D Godfrey', 'I Gunn', 'S Nickerson', 'N Rangwala', 'J Colgan', 'C DeWitt', 'X Huang', 'K Acharyya', 'M Drozdovskaya', 'C Fortenberry', 'E Herbst']",3,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,False
H2S,1972,True,False,False,"['P Thaddeus', 'L Kutner', 'A Penzias', 'W Wilson', 'B Jefferts']",3,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,False
HNCO,1972,True,False,False,"['E Snyder', 'D Buhl']",4,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
CH3CHO,1973,True,False,False,"['A Gottlieb', 'A Gordon', 'E Snyder', 'N Fourikis', 'W Sinclair', 'J Robinson', 'D Godfrey', 'D Brown', 'W Gilmore', 'M Morris', 'P Palmer', 'R Johnson', 'J Lovas', 'E Turner', 'B Zuckerman']",7,2.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,,False
CH3CCH,1973,True,False,False,"['D Buhl', 'E Snyder', 'A Gordon', 'E Snyder']",7,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,False
CH2NH,1973,True,False,False,"['D Godfrey', 'D Brown', 'J Robinson', 'W Sinclair']",5,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,False
H2CS,1973,True,False,False,"['W Sinclair', 'N Fourikis', 'C Ribes', 'J Robinson', 'D Brown', 'D Godfrey']",4,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,False
SO,1973,True,False,False,"['A Gottlieb', 'J Ball']",2,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,False
CH3OCH3,1974,True,False,False,"['E Snyder', 'D Buhl', 'R Schwartz', 'O Clark', 'R Johnson', 'J Lovas']",9,2.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,False
CH3NH2,1974,True,False,False,"['N Kaifu', 'M Morimoto', 'K Nagane', 'K Akabane', 'T Iguchi', 'K Takagi', 'N Fourikis', 'K Takagi', 'M Morimoto']",7,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,False
N2H+,1974,True,False,False,"['E Turner', 'S Green', 'A Montgomery', 'P Thaddeus']",3,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,False
C2H,1974,True,False,False,"['D Tucker', 'L Kutner', 'P Thaddeus']",3,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,True
CH2CHCN,1975,True,False,False,"['F Gardner', 'G Winnewisser']",7,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,False
CH3CH2OH,1975,True,False,False,"['B Zuckerman', 'E Turner', 'R Johnson', 'O Clark', 'J Lovas', 'N Fourikis', 'P Palmer', 'M Morris', 'E Lilley', 'A Ball', 'A Gottlieb', 'H Penfield', 'C Pearson', 'N Sastry', 'E Herbst']",9,2.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,,False
HCOOCH3,1975,True,True,False,"['D Brown', 'G Crofts', 'D Godfrey', 'F Gardner', 'J Robinson', 'B Whiteoak', 'E Churchwell', 'G Winnewisser', 'L Neill', 'T Muckle', 'P Zaleski', 'L Steber', 'H Pate', 'V Lattanzi', 'S Spezzano', 'C McCarthy', 'J Remijan', 'I Methyl', 'J Terwisscha', 'G Marcandalli', 'K McClure', 'R Hogerheijde', 'H Linnartz']",8,2.0,4.0,,2.0,,,,,,,,,,,,,,,,,,,,False
SO2,1975,True,False,False,"['E Snyder', 'M Hollis', 'L Ulich', 'J Lovas', 'D Buhl']",3,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,False
SiS,1975,True,False,False,"['M Morris', 'W Gilmore', 'P Palmer', 'E Turner', 'B Zuckerman']",2,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,False
NS,1975,True,False,False,"['A Gottlieb', 'A Ball', 'W Gottlieb', 'J Lada', 'H Penfield', 'H Kuiper', 'K Kakar', 'N Rodriguez', 'B Zuckerman']",2,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,True
NH2CN,1975,True,False,False,"['E Turner', 'S Liszt', 'N Kaifu', 'G Kisliakov']",5,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,False
HC5N,1976,True,False,False,"['W Avery', 'W Broten', 'M McLeod', 'W Kroto', 'W Broten', 'M McLeod', 'W Avery', 'W Brooks', 'X McGee', 'M Newton']",7,5.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,False
HCO,1976,True,False,False,"['E Snyder', 'M Hollis', 'L Ulich']",3,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,True
C2H2,1976,False,True,False,"['T Ridgway', 'B Hall', 'S Wojslaw', 'G Kleinmann', 'A Weinberger', 'H Lacy', 'J Evans', 'M Achtermann', 'E Bruce', 'F Arens', 'S Carr']",4,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,False
C3N,1977,True,False,False,"['M Guélin', 'P Thaddeus', 'P Friberg', 'M Irvine', 'M Guélin']",4,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,True
H2CCO,1977,True,False,False,['E Turner'],5,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,False
C2,1977,False,True,False,"['P Souza', 'L Lutz']",2,2.0,,,,,,,,,,,,,,,,,,,,,,,False
HNO,1977,True,False,False,"['L Ulich', 'M Hollis', 'E Snyder', 'M Hollis', 'E Snyder', 'M Ziurys', 'D McGonagle', 'E Snyder', 'J Kuan', 'M Ziurys', 'M Hollis', 'M Ziurys', 'M Hollis']",3,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,False
CH3CH2CN,1977,True,False,False,"['R Johnson', 'J Lovas', 'A Gottlieb', 'W Gottlieb', 'M Litvak', 'M Guélin']",9,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,False
HC7N,1978,True,False,False,"['W Kroto', 'C Kirby', 'M Walton', 'W Avery', 'W Broten', 'M MacLeod', 'T Little', 'H MacDonald', 'W Riley', 'N Matheson', 'G Winnewisser', 'M Walmsley']",9,7.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,False
