Total,Anions,Cations,Years
1.0,0.0,0.0,1937
1.0,0.0,0.0,1938
1.0,0.0,0.0,1939
2.0,0.0,0.0,1940
3.0,0.0,1.0,1941
3.0,0.0,1.0,1942
3.0,0.0,1.0,1943
3.0,0.0,1.0,1944
3.0,0.0,1.0,1945
3.0,0.0,1.0,1946
3.0,0.0,1.0,1947
3.0,0.0,1.0,1948
3.0,0.0,1.0,1949
3.0,0.0,1.0,1950
3.0,0.0,1.0,1951
3.0,0.0,1.0,1952
3.0,0.0,1.0,1953
3.0,0.0,1.0,1954
3.0,0.0,1.0,1955
3.0,0.0,1.0,1956
3.0,0.0,1.0,1957
3.0,0.0,1.0,1958
3.0,0.0,1.0,1959
3.0,0.0,1.0,1960
3.0,0.0,1.0,1961
3.0,0.0,1.0,1962
4.0,0.0,1.0,1963
4.0,0.0,1.0,1964
4.0,0.0,1.0,1965
4.0,0.0,1.0,1966
4.0,0.0,1.0,1967
5.0,0.0,1.0,1968
7.0,0.0,1.0,1969
11.0,0.0,2.0,1970
19.0,0.0,2.0,1971
22.0,0.0,2.0,1972
27.0,0.0,2.0,1973
31.0,0.0,3.0,1974
38.0,0.0,3.0,1975
41.0,0.0,3.0,1976
46.0,0.0,3.0,1977
50.0,0.0,3.0,1978
53.0,1.0,3.0,1979
53.0,1.0,3.0,1980
55.0,1.0,5.0,1981
55.0,1.0,5.0,1982
57.0,1.0,6.0,1983
61.0,1.0,6.0,1984
65.0,1.0,6.0,1985
70.0,1.0,8.0,1986
79.0,1.0,8.0,1987
83.0,1.0,8.0,1988
88.0,1.0,8.0,1989
89.0,1.0,8.0,1990
95.0,1.0,8.0,1991
99.0,1.0,9.0,1992
101.0,1.0,10.0,1993
105.0,1.0,11.0,1994
106.0,1.0,11.0,1995
109.0,1.0,13.0,1996
114.0,1.0,13.0,1997
116.0,1.0,13.0,1998
117.0,1.0,13.0,1999
120.0,1.0,13.0,2000
125.0,1.0,13.0,2001
128.0,1.0,13.0,2002
128.0,1.0,13.0,2003
134.0,1.0,13.0,2004
135.0,1.0,13.0,2005
143.0,2.0,14.0,2006
148.0,4.0,14.0,2007
154.0,6.0,14.0,2008
160.0,6.0,14.0,2009
169.0,7.0,18.0,2010
173.0,7.0,19.0,2011
179.0,7.0,21.0,2012
190.0,7.0,25.0,2013
199.0,7.0,26.0,2014
206.0,7.0,28.0,2015
207.0,7.0,28.0,2016
214.0,7.0,28.0,2017
220.0,7.0,29.0,2018
225.0,7.0,30.0,2019
